block,method,attack,rho,alpha,spoof,seed,round,accuracy,f1,precision,recall
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,5,0.7724,0.8462369950006756,0.7334582503806066,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,6,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,7,0.9779,0.9826625872754374,0.965916101172116,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,10,0.99405,0.9952723372134599,0.9905891656781336,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,16,0.99955,0.9996408762619209,0.9992820103709613,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,22,0.99995,0.9999600846206043,0.9999201724275565,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,1,0.61705,0.7631798645681952,0.61705,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,2,0.61705,0.7631798645681952,0.61705,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,3,0.93645,0.9510268562401264,0.9066265060240963,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,4,0.7911,0.8552321552321552,0.7470791210121678,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,5,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,6,0.95085,0.9616988116111436,0.9262233563494446,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,7,0.9948,0.9958040829500524,0.9916432302129369,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,11,0.99495,0.9959246257515233,0.9918823340298988,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,456,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,1,0.6178,0.7637532451477316,0.6178,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,2,0.61885,0.7642492655017783,0.6184493718404325,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,3,0.75905,0.8368155497612678,0.7194177583697234,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,4,0.82935,0.8786488888888889,0.7835626862832139,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,5,0.99945,0.9995550701775674,0.9991105361041481,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,6,0.9991,0.999272139102305,0.998545336996929,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,7,0.99985,0.9998786162249647,0.9997572619143944,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,42,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,1,0.6263,0.7702145975527269,0.6263,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,2,0.9029,0.9280580869822923,0.8657727398396461,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,3,0.8737,0.9084052505620421,0.8321817698644698,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,4,0.99775,0.9982069570068136,0.9964203325113357,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,5,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,6,0.9972,0.9977696351760394,0.9955491972659355,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,7,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.50,123,22,1.0,1.0,1.0,1.0
